AAname;have;type;date;place;color;price;currency;
Abundance;already;E;20211203;Ronin;green;$10.00;proposed;
Academy Manufactor;already;A;20220901;Ronin;colorless;$4.89;proposed;
Academy Rector;already;C;20170711;CardKingdom;white;$25.49;proposed;
Academy Ruins;already;L;20190704;Starcitygames;colorless;$29.95;proposed;
Act of Aggression;already;I;20150330;PUCATrade;red;$0.23;proposed;
Act of Authority;already;E;20170126;ChannelFireball;white;$0.49;proposed;
Aether Vial;already;A;20190320;GeorgeTrade;colorless;$45.00;proposed;
Aetherize;already;I;20141204;ChannelFireball;blue;$0.25;proposed;
Ajani Vengeant;already;P;20190211;GeorgeTrade;multicolored;$0.28;USD_mtgf;
Alchemist's Refuge;already;L;20170711;CardKingdom;colorless;$1.59;proposed;
All Is Dust;already;S;20190320;GeorgeTrade;colorless;$6.00;proposed;
All Will Be One;already;E;20230225;Ronin;red;$15.00;proposed
Altar of Dementia;already;A;20190211;GeorgeTrade;colorless;$6.78;USD_mtggf;
Amulet of Vigor;already;A;20150115;ChannelFireball;colorless;$2.99;proposed;
Ancestral Vision;already;S;20150115;ChannelFireball;blue;$6.99;proposed;
Ancient Stirrings;already;S;20170406;Endgames;green;$5.99;USD_mtggf;
Animate Dead;already;E;20150115;ChannelFireball;black;$1.99;proposed;
Anointed Procession;already;E;20170608;CardKingdom;white;$4.79;proposed;
Apprentice Necromancer;already;C;20170126;ChannelFireball;black;$1.99;proposed;
Arc Trail;already;S;20150331;PUCATrade;red;$0.24;proposed;
Arcane Adaptation;already;E;20230406;Ronin;blue;$4.50;proposed;
Arcane Denial;already;I;20170711;CardKingdom;blue;$1.79;proposed;
Arcane Lighthouse;already;L;20230410;CardKingdom;colorless;$4.89;proposed;
Arcanum Wings;already;E;20160123;ChannelFireball;blue;$0.39;proposed;
Archmage Ascension;already;E;20190704;Starcitygames;blue;$0.79;proposed;
Arcum Dagsson;already;C;20220901;Ronin;blue;$5.27;proposed;
Arid Mesa;already;L;20161110;Starcitygames;colorless;$37.49;proposed;
Armageddon;already;S;20150115;ChannelFireball;white;$2.49;proposed;
Armory Automaton;already;A;20190704;Starcitygames;colorless;$2.05;proposed;
Aru afo Silence;already;E;20170406;Endgames;white;$1.53;USD_mtggf;
Assemble the Legion;already;E;20151021;PUCATrade;multicolored;$0.79;proposed;
Astral Slide;already;E;20170608;CardKingdom;white;$0.17;proposed;
Atalya, Samite Master;already;C;20170126;ChannelFireball;white;$0.49;proposed;
Athreos, God of Passage;already;E;20150713;PUCATrade;multicolored;$9.51;proposed;
Atla Palani, Nest Tender;want;C; ; ;multicolored;$0.00;proposed;
Augur of Bolas;already;C;20150427;PUCATrade;blue;$0.25;proposed;
Aura Flux;already;E;20170126;ChannelFireball;blue;$0.25;proposed;
Aura Shards;already;E;20170406;Endgames;multicolored;$7.99;USD_mtggf;
Aura Thief;already;C;20160825;GeorgeTrade;blue;$4.00;proposed;
Aura of Silence;already;E;20170406;Endgames;white;$1.53;USD_mtggf;
Auramancer's Guise;already;E;20170126;ChannelFireball;blue;$0.49;proposed;
Aven Mindcensor;already;C;20170608;CardKingdom;white;$0.99;proposed;
Avenger of Zendikar;already;C;20160123;ChannelFireball;green;$4.49;proposed;
Awakening Zone;already;E;20151129;PUCATrade;green;$3.49;proposed;
Azorius Signet;already;A;20150115;ChannelFireball;colorless;$0.49;proposed;
Badlands;already;L;20210216;GeorgeTrade;colorless;$466.15;proposed;
Baleful Strix;already;A;20160413;PUCATrade;multicolored;$4.80;proposed;
Bane of Progress;already;C;20160427;Endgames;green;$1.62;USD_mtgf;
Barter in Blood;already;S;20131010;ChannelFireball;black;$1.00;proposed;
Basalt Monolith;already;A;20150115;ChannelFireball;colorless;$0.99;proposed;
Batterskull;already;A;20170406;Endgames;colorless;$16.47;USD_mtggf;
Bayou;already;L;20210216;GeorgeTrade;colorless;$542.96;proposed;
Beacon of Tomorrows;already;S;20170711;CardKingdom;blue;$2.99;proposed;
Beastmaster Ascension;already;E;20170608;CardKingdom;green;$1.03;proposed;
Beetleback Chief;already;C;20150330;PUCATrade;red;$0.28;proposed;
Belbe's Portal;already;A;20170126;ChannelFireball;colorless;$2.99;proposed;
Beseech the Queen;already;S;20141203;ChannelFireball;black;$3.49;proposed;
Birgi, God of Storytelling;want;C; ; ;red;$0.00;proposed;
Birthing Pod;already;A;20150115;ChannelFireball;green;$8.99;proposed;
Bitterblossom;already;E;20150730;PUCATrade;black;$27.72;proposed;
Blade Splicer;already;C;20150506;PUCATrade;white;$2.07;proposed;
Blatant Thievery;already;S;20170711;CardKingdom;blue;$1.29;proposed;
Blood Artist;already;C;20131013;ChannelFireball;black;$4.47;proposed;
Blood Tribute;already;S;20131013;ChannelFireball;black;$1.96;proposed;
Bloodbraid Elf;already;C;20170406;Endgames;multicolored;$1.24;USD_mtggf;
Bloodflow Connoisseur;already;C;20131010;ChannelFireball;black;$0.13;proposed;
Bloodline Keeper;already;C;20170406;Endgames;black;$5.61;USD_mtggf;
Bloom Tender;already;C;20141203;ChannelFireball;green;$9.99;proposed;
Bludgeon Brawl;already;E;20190704;Starcitygames;red;$0.49;proposed;
Blue Elemental Blast;already;I;20190719;WhiteHorse;blue;$0.19;USD_mtgf;
Blue Sun's Zenith;already;I;20160427;Endgames;blue;$0.90;USD_mtgf;
Bootleggers' Stash;already;A;20230201;Ronin;green;$14.00;proposed;
Boreal Druid;already;C;20141203;ChannelFireball;green;$0.10;proposed;
Boros Reckoner;already;C;20150115;ChannelFireball;multicolored;$2.49;proposed;
Boros Signet;already;A;20150115;ChannelFireball;colorless;$0.44;proposed;
Boseiju, Who Shelters All;already;L;20161110;Starcitygames;colorless;$13.49;proposed;
Bountiful Promenade;already;L;20230410;CardKingdom;colorless;$5.99;proposed;
Brain Freeze;already;I;20150115;ChannelFireball;blue;$1.25;proposed;
Bramble Sovereign;already;C;20221203;Ronin;green;$4.00;proposed;
Brazen Borrower;already;C;20211006;CardKingdom;blue;$16.99;proposed;
Breakthrough;already;S;20150115;ChannelFireball;blue;$0.71;proposed;
Bribery;already;S;20170406;Endgames;blue;$18.99;USD_mtggf;
Brudiclad, Telchor Engineer;already;A;20220901;Ronin;multicolored;$1.68;proposed;
Bruna, Light of Alabaster;already;C;20140429;ChannelFireball;multicoloured;$5.38;proposed
Bubbling Muck;already;S;20150427;PUCATrade;black;$0.43;proposed;
Burst Lightning;already;I;20150330;PUCATrade;red;$0.24;proposed;
Cabal Ritual;already;I;20150115;ChannelFireball;black;$0.99;proposed;
Caged Sun;already;A;20150427;PUCATrade;colorless;$3.42;proposed;
Campus Renovation;already;S;20230601;Pack;mulitcolored;$0.35;proposed
Capsize;already;I;20151022;PUCATrade;blue;$0.73;proposed;
Cathars' Crusade;already;E;20150422;PUCATrade;white;$0.63;proposed;
Cauldron Haze;already;I;20140429;ChannelFireball;multicoloured;$1.76;proposed
Cauldron of Souls;already;A;20150115;ChannelFireball;colorless;$4.49;proposed;
Celestial Colonnade;already;L;20190320;GeorgeTrade;colorless;$20.00;proposed;
Celestial Flare;already;I;20140429;ChannelFireball;white;$1.00;proposed
Cemetery Gatekeeper;already;C;20211230;Pack;red;$11.99;USD_mtgf;
Cerulean Wisps;already;I;20151019;PUCATrade;blue;$0.86;proposed;
Chaos Warp;already;I;20190320;GeorgeTrade;red;$3.50;proposed;
Char;already;I;20151019;PUCATrade;red;$0.44;proposed;
Chill;already;E;20141203;ChannelFireball;blue;$0.49;proposed;
Chronomantic Escape;already;S;20170406;Endgames;white;$0.26;USD_mtggf;
City of Solitude;already;E;20211228;PlentyofGames;green;$39.10;proposed;
Cleansing Meditation;already;S;20150422;PUCATrade;white;$0.28;proposed;
Clickslither;already;C;20150415;PUCATrade;red;$0.45;proposed;
Clifftop Retreat;already;L;20160427;Endgames;colorless;$4.85;USD_mtggf;
Clockspinning;already;I;20161110;Starcitygames;blue;$0.29;proposed;
Cloud of Faeries;already;C;20141203;ChannelFireball;blue;$0.99;proposed;
Cloudgoat Ranger;already;C;20150115;ChannelFireball;white;$0.23;proposed;
Codex Shredder;already;A;20150422;PUCATrade;colorless;$0.18;proposed;
Coercive Portal;already;A;20170406;Endgames;colorless;$3.50;USD_mtgf;
Coffin Queen;already;C;20141203;ChannelFireball;black;$3.99;proposed;
Cogwork Librarian;already;A;20150728;PUCATrade;colorless;$0.20;proposed;
Collective Restraint;already;E;20160825;GeorgeTrade;blue;$4.80;proposed;
Collective Voyage;already;S;20170608;CardKingdom;green;$2.23;proposed;
Condemn;already;I;20140429;ChannelFireball;white;$0.46;proposed
Conjurer's Closet;already;A;20141203;ChannelFireball;colorless;$0.44;proposed;
Consecrated Sphinx;already;C;20150115;ChannelFireball;blue;$12.99;proposed;
Contagion Clasp;already;A;20151202;PUCATrade;colorless;$0.25;proposed;
Contagion Engine;already;A;20151202;PUCATrade;colorless;$3.44;proposed;
Contamination;already;E;20141203;ChannelFireball;black;$6.99;proposed;
Counterspell;already;I;20150115;ChannelFireball;blue;$0.49;proposed;
Craterhoof Behemoth;already;C;20150721;PUCATrade;green;$15.97;proposed;
Creeping Tar Pit;already;L;20190320;GeorgeTrade;colorless;$6.00;proposed;
Crime // Punishment;already;S;20131010;ChannelFireball;multicolored;$3.58;proposed;
Crimson Wisps;already;I;20151202;PUCATrade;red;$0.43;proposed;
Crown of Empires;already;A;20220901;Ronin;colorless;$0.25;proposed;
Crown of the Ages;already;A;20170126;ChannelFireball;colorless;$0.25;proposed;
Crucible of Worlds;already;A;20170406;Endgames;colorless;$62.50;USD_mtggf;
Cruel Ultimatum;already;S;20151130;PUCATrade;multicolored;$0.60;proposed;
Crypt Creeper;already;C;20131010;ChannelFireball;black;$0.30;proposed;
Cryptborn Horror;already;C;20131013;ChannelFireball;multicolored;$1.00;proposed;
Cryptic Gateway;already;A;20160825;GeorgeTrade;colorless;$4.00;proposed;
Crystal Ball;already;A;20170126;ChannelFireball;colorless;$0.25;proposed;
Culling Scales;already;A;20190719;WhiteHorse;colorless;$0.45;USD_mtggf;
Cyclonic Rift;already;I;20141203;ChannelFireball;blue;$0.99;proposed;
Daily Regimen;already;E;20140429;ChannelFireball;white;$0.40;proposed
Damia, Sage of Stone;already;C;20170126;ChannelFireball;multicolored;$9.99;proposed;
Damnation;already;S;20170406;Endgames;black;$43.19;USD_mtggf;
Damping Engine;already;A;20170126;ChannelFireball;colorless;$0.35;proposed;
Daretti, Scrap Savant;already;P;20160330;PUCATrade;red;$2.54;proposed;
Dark Confidant;already;C;20200422;ScottMunroTrade;black;$39.99;proposed;
Dark Prophecy;already;E;20131010;ChannelFireball;black;$3.16;proposed;
Darksteel Forge;already;A;20170406;Endgames;colorless;$8.25;USD_mtgf;
Dash Hopes;already;I;20131013;ChannelFireball;black;$1.76;proposed;
Dawn Charm;already;I;20151102;PUCATrade;white;$0.80;proposed;
Day of Judgment;already;S;20170711;CardKingdom;white;$2.79;proposed;
Daze;already;I;20150115;ChannelFireball;blue;$3.99;proposed;
Deadeye Navigator;already;C;20150930;PUCATrade;blue;$1.10;proposed;
Death Wind;already;I;20131010;ChannelFireball;black;$0.30;proposed;
Decree of Pain;already;S;20170406;Endgames;black;$3.00;USD_mtgf;
Decree of Silence;already;E;20210906;Ronin;blue;$12.00;USD_mtgf;
Deep Analysis;already;S;20150115;ChannelFireball;blue;$0.23;proposed;
Delver of Secrets;already;C;20150506;PUCATrade;blue;$1.11;proposed;
Demigod of Revenge;already;C;20140429;ChannelFireball;multicoloured;$13.96;proposed
Demonic Tutor;already;S;20151007;PUCATrade;black;$15.36;proposed;
Deprive;already;I;20131013;ChannelFireball;blue;$1.00;proposed;
Derevi, Empyrial Tactician;already;C;20150330;PUCATrade;multicolored;$1.31;proposed;
Deserted Beach;already;L;20220201;Ronin;colorless;$9.00;proposed;
Deserted Temple;already;L;20180509;CardKingdom;colorless;$11.99;proposed;
Devastation Tide;already;S;20151021;PUCATrade;blue;$0.44;proposed;
Devour Flesh;already;I;20131010;ChannelFireball;black;$1.00;proposed;
Diabolic Edict;already;I;20150613;PUCATrade;black;$0.73;proposed;
Diabolic Revelation;already;S;20170406;Endgames;black;$1.27;USD_mtggf;
Diabolic Servitude;already;E;20150323;GeorgeTrade;black;$0.25;USD_mtgf;
Dimir Aqueduct;already;L;20150917;PUCATrade;colorless;$0.60;proposed;
Dimir Signet;already;A;20150115;ChannelFireball;colorless;$0.99;proposed;
Disciple of the Vault;already;C;20230328;Endgames;black;$1.25;proposed;
Dismiss into Dream;already;E;20140429;ChannelFireball;blue;$1.00;proposed
Dismiss;already;I;20150115;ChannelFireball;blue;$0.25;proposed;
Displacer Kitten;want;C; ; ;blue;$0.00;proposed;
Donate;already;S;20170711;CardKingdom;blue;$2.79;proposed;
Doubling Season;already;E;20160711;MagicHothub;green;$59.99;proposed;
Dovescape;already;E;20170406;Endgames;multicolored;$3.26;USD_mtggf;
Dragonlord Silumgar;already;C;20160123;ChannelFireball;multicolored;$4.99;proposed;
Draining Whelk;already;C;20131013;ChannelFireball;blue;$8.96;proposed;
Dream Halls;want;E; ; ;blue;$0.00;proposed;
Dreamroot Cascade;already;L;20211230;Pack;colorless;$5.61;USD_mtgf;
Drivnod, Carnage Dominus;already;C;20230507;Pack;black;$8.50;fromcsv
Dromoka, the Eternal;already;C;20150305;PUCATrade;multicolored;$0.88;proposed;
Drowned Catacomb;already;L;20160427;Endgames;colorless;$3.11;USD_mtggf;
Druid of Purification;already;C;20230201;Ronin;green;$13.50;proposed;
Dungeon Geists;already;C;20150422;PUCATrade;blue;$0.27;proposed;
Duplicant;already;A;20150323;PUCATrade;colorless;$7.83;proposed;
Earl of Squirrel;already;C;20190320;GeorgeTrade;green;$3.00;proposed;
Echo of Eons;want;S; ; ;blue;$0.00;proposed;
Edric, Spymaster of Trest;already;C;20170406;Endgames;multicolored;$0.57;USD_mtgf;
Eerie Interlude;already;I;20160323;PUCATrade;white;$2.15;proposed;
Eerie Ultimatum;already;S;20211006;CardKingdom;multicolored;$2.99;proposed;
Eight-and-a-Half-Tails;already;C;20170608;CardKingdom;white;$1.59;proposed;
Eladamri, Lord of Leaves;already;C;20141203;ChannelFireball;green;$5.99;proposed;
Eldrazi Monument;already;A;20160427;Endgames;colorless;$7.68;USD_mtggf;
Elvish Piper;already;C;20141203;ChannelFireball;green;$5.99;proposed;
Elvish Promenade;already;E;20140429;ChannelFireball;green;$5.98;proposed
Elvish Promenade;already;E;20140429;ChannelFireball;green;$7.18;proposed
Elvish Reclaimer;already;C;20230328;Endgames;green;$7.99;proposed;
Empress Galina;already;C;20221009;Ronin;blue;$8.50;proposed;
Empyrial Armor;already;E;20150323;GeorgeTrade;white;$0.20;USD_mtggf;
Enchanted Evening;already;E;20150303;PUCATrade;multicolored;$4.45;proposed;
Endbringer's Revel;want;E; ; ;black;$0.00;proposed;
Engulf the Shore;already;I;20170126;ChannelFireball;blue;$0.79;proposed;
Ensnaring Bridge;already;A;20170126;ChannelFireball;colorless;$34.99;proposed;
Eon Hub;already;A;20170711;CardKingdom;colorless;$0.69;proposed;
Equilibrium;already;E;20151102;PUCATrade;blue;$1.73;proposed;
Erebos, God of the Dead;already;E;20131010;ChannelFireball;black;$12.58;proposed;
Esper Sentinel;want;C; ; ;white;$0.00;proposed;
Etali, Primal Conqueror;want;C; ; ;red;$0.00;proposed;
Eternal Witness;already;C;20141203;ChannelFireball;green;$2.49;proposed;
Eternity Vessel;already;A;20170406;Endgames;colorless;$2.04;USD_mtggf;
Everflowing Chalice;already;A;20150115;ChannelFireball;colorless;$0.49;proposed;
Executioner's Swing;already;I;20131010;ChannelFireball;multicolored;$0.40;proposed;
Exhume;already;S;20151102;PUCATrade;black;$0.90;proposed;
Exploration;already;E;20150616;PUCATrade;green;$7.51;proposed;
Extraplanar Lens;already;A;20150506;PUCATrade;colorless;$10.21;proposed;
Eye of Singularity;already;E;20170126;ChannelFireball;white;$0.28;proposed;
Ezuri, Claw of Progress;already;C;20160427;Endgames;multicolored;$1.90;USD_mtgf;
Fabricate;already;S;20150323;GeorgeTrade;blue;$2.21;USD_mtgf;
Fade Away;already;S;20211006;CardKingdom;blue;$0.23;proposed;
Faerie Conclave;already;L;20141203;ChannelFireball;colorless;$0.99;proposed;
Faith's Fetters;already;E;20150323;GeorgeTrade;white;$0.20;USD_mtgf;
Farewell;already;S;20230410;CardKingdom;white;$14.99;proposed;
Fastbond;already;E;20151029;PUCATrade;green;$4.62;proposed;
Fated Infatuation;already;I;20140429;ChannelFireball;blue;$0.98;proposed
Fauna Shaman;already;C;20141203;ChannelFireball;green;$7.00;proposed;
Field of the Dead;want;L; ; ;colorless;$0.00;proposed;
Fierce Empath;already;C;20150323;GeorgeTrade;green;$0.29;USD_mtggf;
Fierce Guardianship;want;I; ; ;blue;$0.00;proposed;
Fiery Confluence;already;S;20190704;Starcitygames;red;$11.95;proposed;
Filigree Sages;already;A;20160123;ChannelFireball;blue;$0.25;proposed;
Filter Out;want;I; ; ;blue;$0.00;proposed;
Fire // Ice;already;I;20150115;ChannelFireball;multicolored;$0.49;proposed;
Flame Slash;already;S;20150115;ChannelFireball;red;$0.49;proposed;
Flametongue Kavu;already;C;20150330;PUCATrade;red;$0.27;proposed;
Flickering Ward;want;E; ; ;white;$0.00;proposed;
Flickerwisp;already;C;20150323;GeorgeTrade;white;$0.85;USD_mtggf;
Flusterstorm;already;I;20190320;GeorgeTrade;blue;$17.00;proposed;
Forbidden Alchemy;already;I;20150115;ChannelFireball;blue;$0.25;proposed;
Forbidden Orchard;already;L;20170608;CardKingdom;colorless;$4.19;proposed;
Force Spike;already;I;20150115;ChannelFireball;blue;$0.71;proposed;
Force of Will;want;I; ; ;blue;$0.00;proposed;
Forced Fruition;already;E;20170711;CardKingdom;blue;$7.59;proposed;
Frightful Delusion;already;I;20131013;ChannelFireball;blue;$0.40;proposed;
Frost Titan;already;C;20150115;ChannelFireball;blue;$0.99;proposed;
Frozen AEther;already;E;20170126;ChannelFireball;blue;$1.25;proposed;
Fumble;already;I;20211006;CardKingdom;blue;$1.18;proposed;
Galazeth Prismari;already;C;20220901;Pack;multicolored;$3.38;proposed;
Galvanic Key;already;A;20160123;ChannelFireball;colorless;$0.15;proposed;
Garruk Wildspeaker;already;P;20190320;GeorgeTrade;green;$10.00;proposed;
Geralf's Messenger;already;C;20140429;ChannelFireball;black;$8.07;proposed
Geth's Grimoire;already;A;20221101;Ronin;colorless;$4.00;proposed;
Geth's Verdict;already;I;20131010;ChannelFireball;black;$1.00;proposed;
Ghostly Prison;already;E;20161110;Starcitygames;white;$2.99;proposed;
Giada, Font of Hope;already;C;20220901;Ronin;white;$2.19;proposed;
Gideon, Ally of Zendikar;already;P;20190211;GeorgeTrade;white;$7.22;USD_mtgf;
Gifts Ungiven;already;I;20150115;ChannelFireball;blue;$5.39;proposed;
Gilded Drake;already;C;20160101;TradeGamesCapital;blue;$12.00;proposed;
Gilded Lotus;already;A;20160427;Endgames;colorless;$8.33;USD_mtgf;
Gilder Bairn;already;C;20150330;PUCATrade;multicolored;$3.65;proposed;
Gitaxian Probe;already;S;20160318;PUCATrade;blue;$3.87;proposed;
Glacial Chasm;already;L;20170126;ChannelFireball;colorless;$0.99;proposed;
Glacial Fortress;already;L;20160427;Endgames;colorless;$2.15;USD_mtggf;
Glen Elendra Archmage;already;C;20150115;ChannelFireball;blue;$6.99;proposed;
Glistening Dawn;already;S;20230422;Pack;green;$0.29;proposed;
Gloagir Signet;already;A;20150115;ChannelFireball;colorless;$0.15;proposed;
Go for the Throat;already;I;20150115;ChannelFireball;black;$1.99;proposed;
Go-Shintai of Life's Origin;want;C; ; ;multicolored;$0.00;proposed;
Goblin Matron;already;C;20141203;ChannelFireball;red;$0.89;proposed;
Goblin Piledriver;already;C;20170406;Endgames;red;$4.49;USD_mtggf;
Goblin Recruiter;already;C;20150323;GeorgeTrade;red;$1.56;USD_mtgf;
Goblin Trenches;already;E;20141203;ChannelFireball;multicolored;$0.23;proposed;
Goblin Welder;already;C;20150826;PUCATrade;red;$1.51;proposed;
Godless Shrine;already;L;20160427;Endgames;colorless;$10.80;USD_mtggf;
Golgari Signet;already;A;20150115;ChannelFireball;colorless;$0.15;proposed;
Grand Abolisher;already;C;20170406;Endgames;white;$5.94;USD_mtggf;
Grave Pact;already;E;20131010;ChannelFireball;black;$21.56;proposed;
Greater Auramancy;already;E;20161110;Starcitygames;white;$18.75;proposed;
Green Sun's Zenith;already;S;20141203;ChannelFireball;green;$4.99;proposed;
Grim Discovery;already;S;20150323;GeorgeTrade;black;$0.14;USD_mtggf;
Griselbrand;already;C;20170406;Endgames;black;$11.74;USD_mtgf;
Gruul Signet;already;A;20150115;ChannelFireball;colorless;$0.23;proposed;
Gush;already;I;20150504;PUCATrade;blue;$0.46;proposed;
Hall of Heliod's Generosity;already;L;20190704;Starcitygames;colorless;$12.99;proposed;
Hall of the Bandit Lord;already;l;20230624;Ronin;colorless;11.50
Harmless Offering;already;S;20160825;GeorgeTrade;red;$1.00;proposed;
Harmonize;already;S;20150323;GeorgeTrade;green;$1.44;USD_mtgf;
Harrow;already;I;20170406;Endgames;green;$0.16;USD_mtggf;
Head Games;already;S;20220901;Ronin;black;$2.62;proposed;
Heartbeat of Spring;already;E;20170711;CardKingdom;green;$3.49;proposed;
Helm of Awakening;already;A;20161110;Starcitygames;colorless;$1.05;proposed;
Hero of Bladehold;already;C;20160323;PUCATrade;white;$8.39;proposed;
Hero of Oxid Ridge;already;C;20150407;PUCATrade;red;$1.01;proposed;
Hex Parasite;already;C;20140429;ChannelFireball;black;$1.76;proposed
High Market;already;L;20161110;Starcitygames;colorless;$1.99;proposed;
High Tide;already;I;20141203;ChannelFireball;blue;$0.49;proposed;
Hinterland Harbor;already;L;20160427;Endgames;colorless;$5.55;USD_mtggf;
Homeward Path;already;L;20230328;Endgames;colorless;$18.04;proposed;
Horn of the Mark;already;a;20230623;Pack;colorless;2.50
Horobi, Death's Wail;already;C;20221001;Ronin;black;$4.00;proposed;
Hullbreaker Horror;already;C;20211230;Pack;blue;$7.99;USD_mtgf;
Human Frailty;already;I;20131010;ChannelFireball;black;$0.40;proposed;
Humility;already;E;20161110;Starcitygames;white;$16.49;proposed;
Hurkyl's Recall;already;I;20170711;CardKingdom;blue;$2.79;proposed;
Hypnotic Specter;already;C;20190320;GeorgeTrade;black;$2.00;proposed;
Idyllic Tutor;already;S;20200422;ScottMunroTrade;white;$4.49;proposed;
Illusionary Terrain;already;E;20170711;CardKingdom;blue;$1.00;proposed;
Imi Statue;already;A;20190719;WhiteHorse;colorless;$0.46;USD_mtggf;
Immaculate Magistrate;already;C;20140429;ChannelFireball;green;$10.78;proposed
Imperial Recruiter;already;C;20220926;Ronin;red;$10.00;proposed;
Impulse;already;I;20150115;ChannelFireball;blue;$0.49;proposed;
Impulsive Maneuvers;already;E;20190704;Starcitygames;red;$2.45;proposed;
